Player,Class,Pos,School,Conf,Predicted_PER,Predicted_BPM,Predicted_WS40,PER_Percentile_Rank,BPM_Percentile_Rank,WS40_Percentile_Rank
Abou Ousmane,SR,F,Xavier,Big East Conference ,16.762,1.674,0.086,58.549,33.161,35.233
Aboubacar Traore,JR,G,Long Beach State,Big West Conference,24.674,3.927,0.152,96.891,52.332,69.43
Abramo Canka,SO,G,Wake Forest,Atlantic Coast Conference,-1.142,-8.292,0.0,7.772,7.772,10.881
Ace Baldwin Jr.,SR,G,Penn State,Big Ten Conference,17.773,6.111,0.127,65.285,76.166,53.886
Ace Valentine,FR,G,Maryland-Baltimore County,America East Conference,13.049,-2.769,0.067,40.415,16.062,27.461
Achile Spadone,SO,G,Davidson,Atlantic 10 Conference,8.43,-2.178,0.062,23.316,17.098,25.907
Achor Achor,JR,F,Samford,Southern Conference,30.295,4.898,0.239,99.482,62.694,98.964
Adam Benhayoune,JR,F,Louisiana State,Southeastern Conference,18.153,-1.961,0.0,74.093,17.617,10.881
Adam Cisse,SR,C,Maine,America East Conference,14.06,-2.202,0.108,46.114,17.098,44.56
Adam Clark,FR,G,Merrimack,Northeast Conference,20.278,-1.08,0.138,84.974,20.725,60.104
Adam Comer,JR,F,College of Charleston,Coastal Athletic Association,8.966,-10.09,0.0,24.352,5.699,10.881
Adam Hamilton,SR,C,Lamar,Southland Conference,23.678,-0.085,0.179,95.855,25.389,87.047
Adam Hess,SR,G,NJIT,America East Conference,10.95,-2.835,0.066,31.088,15.544,27.461
Adam Larson,SO,F,Southeast Missouri State,Ohio Valley Conference,14.736,-0.835,0.11,48.705,20.725,45.078
Adam Miller,JR,G,Arizona State,Pac-12 Conference,15.254,2.253,0.081,51.295,38.86,32.124
Adam Moussa,JR,G,Tarleton State,Western Athletic Conference,12.184,-0.537,0.084,34.715,21.244,35.233
Adam Shoff,JR,G,Montana,Big Sky Conference,-15.928,-22.547,-0.235,2.591,1.554,1.554
Adam Tsang Hinton,SO,G,Cornell,Ivy League,8.835,-4.821,0.065,23.834,12.953,26.425
Adama Bal,JR,G,Santa Clara,West Coast Conference,18.067,2.725,0.142,72.021,42.487,63.731
Adante’ Holiman,SO,G,UTSA,American Athletic Conference,9.604,-2.969,0.028,25.907,15.544,19.689
Aday Mara,FR,C,UCLA,Pac-12 Conference,13.733,0.07,0.079,45.078,25.389,31.088
Addarin Scott,JR,F,Auburn,Southeastern Conference,18.054,2.767,0.2,71.503,42.487,91.192
Ade Adebayo,SR,G,UC Davis,Big West Conference,10.899,-1.462,0.079,31.088,19.171,31.088
Adefemi Akinwole,FR,G,Florida A&M,Southwest Athletic Conference,51.608,7.057,0.0,100.0,87.565,10.881
Adem Bona,SO,F,UCLA,Pac-12 Conference,22.766,6.333,0.164,94.819,79.275,74.093
Ademide Badmus,JR,F,Gardner-Webb,Big South Conference,13.172,-4.236,0.084,41.451,13.99,34.715
Aden Haas,FR,G,Charleston Southern,Big South Conference,-28.357,-17.87,0.0,1.036,4.145,10.881
Aden Holloway,FR,G,Auburn,Southeastern Conference,11.946,1.418,0.108,34.197,30.57,44.56
Aden Tagaloa-Nelson,FR,G,West Virginia,Big 12 Conference,-51.854,-42.506,-0.571,0.518,0.518,0.777
Adeola Seun,JR,C,Southern Illinois-Edwardsville,Ohio Valley Conference,13.654,-7.154,0.087,44.56,8.29,35.233
Adou Thiero,SO,G,Kentucky,Southeastern Conference,19.562,5.3,0.148,80.311,69.43,68.394
Adrame Diongue,SO,C,San Jose State,Mountain West Conference,15.736,1.366,0.056,52.332,30.57,23.834
Adrian Myers,FR,G,Mississippi State,Southeastern Conference,4.274,-8.805,-0.121,13.99,7.254,2.591
Adrian Samuels,SO,G,American,Patriot League,4.96,-7.8,0.0,14.508,7.772,10.881
Adrian Uchidiuno,FR,G,Brown,Ivy League,28.247,-2.822,0.25,99.482,15.544,99.482
Ahjany Lee,SO,F,St. Thomas,Summit League,16.242,-0.32,0.172,55.44,24.352,82.383
Ahmad Hamilton,SR,G,North Carolina A&T,Coastal Athletic Association,13.173,-4.913,0.036,41.451,12.953,20.725
Ahmad Henderson II,FR,G,Niagara,Metro Atlantic Athletic Conference,14.175,-3.446,0.07,46.114,14.508,28.497
Ahmad Robinson,JR,G,New Hampshire,America East Conference,18.301,-1.042,0.105,74.611,20.725,43.005
Ahmard Harvey,SR,F,UNC Wilmington,Coastal Athletic Association,11.27,-3.215,0.109,33.161,14.508,45.078
Ahmed Essahaty,SO,G,Long Island University,Northeast Conference,6.772,-5.975,0.025,18.135,9.845,19.689
Ahmet Jonovic,SO,F,Bradley,Missouri Valley Conference,11.359,-3.672,0.1,33.679,14.508,39.896
Ahmir Langlais,SR,F,South Carolina Upstate,Big South Conference,18.882,-2.582,0.108,78.238,16.58,44.56
Ahren Freeman,SR,G,Texas-Rio Grande Valley,Western Athletic Conference,18.105,-1.719,0.073,73.575,18.135,30.052
Aidan Burke,FR,G,UC San Diego,Big West Conference,14.154,-2.884,0.093,46.114,15.544,36.269
Aidan Carpenter,SR,G,Sacred Heart,Northeast Conference,14.209,-2.252,0.087,46.632,17.098,35.233
Aidan Hadaway,SO,F,Ohio,Mid-American Conference,19.673,1.692,0.156,81.347,33.161,72.021
Aidan Harris,FR,F,Saint Francis (PA),Northeast Conference,11.817,-2.902,0.075,34.197,15.544,31.088
Aidan Igiehon,SR,F,Abilene Christian,Western Athletic Conference,6.881,-6.236,0.026,18.135,9.326,19.689
Aidan Kehoe,SO,C,Navy,Patriot League,14.733,-3.599,0.102,48.187,14.508,41.969
Aidan Mahaney,SO,G,Saint Mary's (CA),West Coast Conference,16.048,1.688,0.166,54.922,33.161,75.13
Aidan McCool,SR,G,Louisville,Atlantic Coast Conference,2.052,-6.306,0.0,11.399,9.326,10.881
Aidan Mckeon,FR,G,James Madison,Sun Belt Conference,4.854,-5.147,0.0,14.508,12.435,10.881
Aidan Noyes,SO,F,Richmond,Atlantic 10 Conference,16.286,2.215,0.135,55.44,38.86,56.995
Aidan Prukop,JR,G,Cal Poly,Big West Conference,9.752,-3.804,0.036,26.425,14.508,20.207
Aidan Rubio,SO,G,Central Michigan,Mid-American Conference,11.383,-1.629,0.067,33.679,18.135,27.461
Aidan Shaw,SO,F,Missouri,Southeastern Conference,16.458,5.424,0.102,55.959,70.984,42.487
Aiden Terry,SR,G,Rutgers,Big Ten Conference,8.379,-1.084,0.0,23.316,20.725,10.881
Aime Rutayisire,SO,F,Niagara,Metro Atlantic Athletic Conference,14.376,-0.264,0.108,47.15,25.389,45.078
Airion Simmons,SR,F,Abilene Christian,Western Athletic Conference,18.961,-0.075,0.125,78.238,25.389,53.886
Ajay Mitchell,JR,G,UC Santa Barbara,Big West Conference,24.546,4.098,0.192,96.891,53.368,89.119
Ajay Sheldon,SO,G,Ohio,Mid-American Conference,14.493,0.067,0.137,47.15,25.389,58.031
Ajay Tew,FR,G,Louisiana-Monroe,Sun Belt Conference,17.028,-5.843,0.0,61.14,10.363,10.881
Akil Watson,FR,F,Arizona State,Pac-12 Conference,9.422,-0.619,0.034,24.352,20.725,20.207
Akili Vining,SR,G,UT Arlington,Western Athletic Conference,11.443,-0.81,0.096,33.679,20.725,37.306
Akira Jacobs,FR,F,Hawaii,Big West Conference,7.552,-3.274,0.073,20.207,14.508,30.57
Akiva McBirney-Griffin,JR,F,UC Irvine,Big West Conference,26.483,1.512,0.0,98.964,31.606,10.881
Akok Akok,SR,F,West Virginia,Big 12 Conference,13.943,1.947,0.065,46.114,36.788,26.943
Akolda Mawein,SR,F,Sacramento State,Big Sky Conference,14.931,-2.359,0.104,49.223,16.58,42.487
Akrum Ahemed,SR,G,UNC Greensboro,Southern Conference,8.297,-4.876,0.045,23.316,12.953,22.28
Akuel Kot,SR,G,Wyoming,Mountain West Conference,13.276,0.946,0.065,41.451,29.016,26.425
Al Amadou,FR,F,Marquette,Big East Conference ,15.071,-0.147,0.078,50.259,25.389,31.088
Al-Amir Dawes,SR,G,Seton Hall,Big East Conference ,14.334,3.525,0.101,46.632,49.223,40.933
Albe Evans,SR,G,Fordham,Atlantic 10 Conference,-14.033,-19.18,-0.308,3.109,3.109,1.554
Alden Applewhite,JR,F,Murray State,Missouri Valley Conference,10.904,-1.271,0.085,31.088,19.689,35.233
Alec Oglesby,SR,G,Stetson,Atlantic Sun Conference,14.3,0.01,0.107,46.632,25.389,44.56
Alec Pfriem,SR,G,Bellarmine,Atlantic Sun Conference,14.375,-1.414,0.069,47.15,19.689,28.497
Alec Woodard,SR,G,Southeastern Louisiana,Southland Conference,12.29,-2.493,0.075,35.233,16.58,31.088
Alejandro Ralat,JR,G,Florida Atlantic,American Athletic Conference,25.767,8.158,0.0,98.964,94.819,10.881
Alejandro Vasquez,JR,G,UAB,American Athletic Conference,17.247,1.517,0.111,63.212,31.606,45.078
Alek Delev,SR,G,Bucknell,Patriot League,-21.874,-35.609,-0.5,1.554,0.518,1.554
Aleksa Lekic,FR,C,Lamar,Southland Conference,10.84,-8.657,0.0,31.088,7.254,10.881
Alem Huseinovic,SR,G,Rice,American Athletic Conference,10.466,0.341,0.049,30.052,26.425,22.798
Alex Anamekwe,SO,F,Texas,Big 12 Conference,-2.5,-12.589,0.0,6.218,5.181,10.881
Alex Anderson,JR,F,Incarnate Word,Southland Conference,14.76,-4.58,0.071,48.705,12.953,28.497
Alex Bates IV,FR,G,Iona,Metro Atlantic Athletic Conference,7.097,-4.628,0.041,18.653,12.953,22.28
Alex Capitano,SR,G,Colgate,Patriot League,5.77,-10.287,0.0,16.062,5.699,10.881
Alex Condon,FR,F,Florida,Southeastern Conference,17.513,3.471,0.124,64.767,48.187,53.368
Alex Cotton,FR,G,North Texas,American Athletic Conference,12.232,-3.812,0.148,35.233,14.508,68.394
Alex Daniels,JR,G,American,Patriot League,-29.431,-24.988,0.0,0.518,1.036,10.881
Alex Doyle,FR,F,Stetson,Atlantic Sun Conference,5.571,-6.085,0.016,15.026,9.326,19.171
Alex Ducas,SR,G,Saint Mary's (CA),West Coast Conference,19.271,4.921,0.208,79.793,62.694,92.746
Alex Hemenway,SR,G,Clemson,Atlantic Coast Conference,13.554,2.833,0.103,44.041,42.487,42.487
Alex Holt,JR,F,Mercer,Southern Conference,21.209,0.068,0.128,89.119,25.389,53.886
Alex Horiuk,SO,F,Texas-Rio Grande Valley,Western Athletic Conference,5.637,-9.313,-0.028,15.544,6.218,2.591
Alex Huibregtse,JR,G,Wright State,Horizon League,18.442,0.667,0.116,75.13,27.979,45.596
Alex Karaban,SO,F,Connecticut,Big East Conference ,21.666,9.664,0.213,91.71,98.964,94.301
Alex Klatsky,SR,G,Florida,Southeastern Conference,-4.461,-8.406,0.0,4.663,7.772,10.881
Alex Kotov,SR,F,Campbell,Coastal Athletic Association,10.157,-5.378,0.019,26.943,11.399,19.171
Alex Kovatchev,FR,G,Sacramento State,Big Sky Conference,8.59,-4.727,0.033,23.316,12.953,19.689
Alex Merkviladze,SR,F,Loyola Marymount,West Coast Conference,16.333,1.466,0.116,55.44,31.088,45.596
Alex Nunnally,JR,G,NC State,Atlantic Coast Conference,-3.676,-8.14,0.0,4.663,7.772,10.881
Alex Odam,FR,G,Jacksonville State,Conference USA,7.238,-5.682,0.049,18.653,10.881,22.798
Alex Raiford,JR,G,Chicago State,Independent,25.992,0.62,0.274,98.964,27.979,99.482
Alex Schumacher,SR,G,Seattle,Western Athletic Conference,17.956,0.535,0.139,69.948,27.979,60.622
Alex Sobel,SR,F,Sacred Heart,Northeast Conference,27.929,3.816,0.223,98.964,52.332,97.409
Alex Tavares,JR,G,New Hampshire,America East Conference,10.194,-5.205,0.0,26.943,12.435,10.881
Alex Tew,JR,C,Weber State,Big Sky Conference,17.164,-1.23,0.134,63.212,20.207,56.995
Alex Timmerman,SR,C,Winthrop,Big South Conference,20.02,0.046,0.17,83.938,25.389,80.311
Alex Tsynkevich,JR,C,Alcorn State,Southwest Athletic Conference,3.068,-10.359,0.0,11.917,5.699,10.881
Alex Vertus,JR,G,Louisiana Tech,Conference USA,21.895,-1.957,0.222,92.228,17.617,97.15
Alex Wade,JR,G,Notre Dame,Atlantic Coast Conference,1.368,-3.01,0.0,11.399,15.544,10.881
Alex Williams,JR,F,Furman,Southern Conference,18.389,-0.211,0.111,75.13,25.389,45.078
Alexander Nwagha,SR,F,Northeastern,Coastal Athletic Association,16.896,-1.387,0.097,59.067,19.689,38.342
Alexis Reyes,JR,F,Quinnipiac,Metro Atlantic Athletic Conference,12.854,-0.823,0.099,39.378,20.725,39.378
Alexis Yetna,SR,F,Fairfield,Metro Atlantic Athletic Conference,17.367,-1.086,0.154,63.731,20.725,71.503
Alfredo Boglio,FR,G,Robert Morris,Horizon League,1.515,-9.061,-0.053,11.399,6.218,2.591
Ali Abdou Dibba,JR,G,Abilene Christian,Western Athletic Conference,19.288,1.015,0.105,79.793,29.534,43.005
Ali Ali,SR,F,Akron,Mid-American Conference,19.109,0.845,0.162,78.756,28.497,73.575
Alijah Martin,JR,G,Florida Atlantic,American Athletic Conference,20.403,5.597,0.154,85.492,71.503,71.503
Alimamy Koroma,SR,F,Portland,West Coast Conference,16.947,-0.912,0.09,59.585,20.725,35.751
Allan Jeanne-Rose,SR,F,Central Connecticut State,Northeast Conference,23.547,1.737,0.192,95.855,33.679,89.119
Allen Betrand,SR,G,Norfolk State,Mid-Eastern Athletic Conference,17.051,-0.961,0.145,61.658,20.725,64.767
Allen David Mukeba,JR,F,Kansas City,Summit League,20.334,-2.558,0.152,85.492,16.58,69.948
Allen Flanigan,SR,G,Mississippi,Southeastern Conference,20.072,5.324,0.122,84.456,69.43,52.332
Allen Powell,SR,G,Rider,Metro Atlantic Athletic Conference,11.242,-3.955,0.047,32.642,13.99,22.28
Allen Strothers,SO,G,East Tennessee State,Southern Conference,7.034,-5.268,0.035,18.653,11.917,20.207
Allen Udemadu,JR,F,Morgan State,Mid-Eastern Athletic Conference,16.905,-2.665,0.099,59.067,16.58,39.378
Almar Atlason,FR,F,Bradley,Missouri Valley Conference,9.018,-0.822,0.091,24.352,20.725,35.751
Alonso Faure,SR,F,Loyola (MD),Patriot League,15.624,-4.534,0.068,52.332,12.953,27.461
Alonzo Dodd,SO,G,Texas A&M-Commerce,Southland Conference,11.308,-3.618,0.066,33.679,14.508,26.943
Alonzo Gaffney,SR,F,Arizona State,Pac-12 Conference,11.18,2.584,0.05,32.642,41.451,23.316
Alpha Chibambe,FR,G,Maryland-Baltimore County,America East Conference,5.687,-6.348,0.024,16.062,9.326,19.689
Alphonzo Billups III,FR,G,Virginia Commonwealth,Atlantic 10 Conference,14.101,1.943,0.096,46.114,36.269,37.306
Alston Andrews,JR,F,Delaware State,Mid-Eastern Athletic Conference,9.569,-4.476,0.062,25.907,12.953,25.907
Alston Mason,JR,G,Missouri State,Missouri Valley Conference,18.698,1.476,0.121,76.166,31.088,50.777
Alvaro Cardenas,JR,G,San Jose State,Mountain West Conference,16.115,2.415,0.095,54.922,40.415,36.788
Alvaro Folgueiras,FR,F,Robert Morris,Horizon League,15.166,-1.405,0.099,50.777,19.689,38.86
Alvin Tumblin,JR,F,Florida A&M,Southwest Athletic Conference,11.333,-4.284,0.0,33.679,13.99,10.881
Always Wright,SO,G,Rhode Island,Atlantic 10 Conference,6.62,-2.892,0.011,17.617,15.544,18.653
Aly Khalifa,JR,F,Brigham Young,Big 12 Conference,15.739,5.897,0.168,52.85,74.093,78.756
Amaan Sandhu,SO,C,Monmouth,Coastal Athletic Association,9.03,-4.691,0.069,24.352,12.953,28.497
Amahrie Simpkins,JR,G,Morgan State,Mid-Eastern Athletic Conference,13.932,-4.18,0.059,45.596,13.99,24.87
Amani Drummond,SO,G,Incarnate Word,Southland Conference,-3.783,-13.227,-0.114,4.663,4.663,2.591
Amani Hansberry,FR,F,Illinois,Big Ten Conference,14.295,1.038,0.127,46.632,29.534,53.886
Amani Lyles,SO,F,Akron,Mid-American Conference,19.097,-2.671,0.199,78.756,16.58,90.674
Amanze Ngumezi,SR,F,Mercer,Southern Conference,12.163,-4.426,0.066,34.715,13.472,26.943
Amar Kuljuhovic,JR,C,North Dakota,Summit League,23.981,2.271,0.193,95.855,38.86,89.637
Amar'e Marshall,SO,G,Albany (NY),America East Conference,19.524,0.639,0.101,80.311,27.979,40.933
Amaree Abram,SO,G,Georgia Tech,Atlantic Coast Conference,3.11,-6.959,-0.037,11.917,8.29,2.591
Amari Jedkins,FR,F,Green Bay,Horizon League,14.003,-2.965,0.07,46.114,15.544,28.497
Amari Kelly,SR,F,George Mason,Atlantic 10 Conference,20.92,4.222,0.155,87.565,53.886,72.021
Amari Stroud,SR,F,Long Beach State,Big West Conference,10.233,-3.579,0.05,26.943,14.508,23.316
Amari Williams,SR,F,Drexel,Coastal Athletic Association,27.063,3.402,0.199,98.964,47.15,90.674
Amarion Savage,FR,G,Charleston Southern,Big South Conference,7.968,-8.425,0.0,21.762,7.772,10.881
Amarr Knox,SO,G,Alabama State,Southwest Athletic Conference,14.581,-3.121,0.111,47.668,15.026,45.078
Amarri Tice,SO,F,Quinnipiac,Metro Atlantic Athletic Conference,25.36,4.267,0.191,98.446,53.886,89.119
Ametri Moss,JR,G,North Florida,Atlantic Sun Conference,18.341,-1.337,0.139,74.611,19.689,60.622
Amir Arrington,FR,G,George Washington,Atlantic 10 Conference,-9.356,-13.078,0.0,4.145,4.663,10.881
Amir Nesbitt,JR,G,Hampton,Coastal Athletic Association,12.436,-0.971,0.076,35.751,20.725,31.088
Amire Robinson,FR,G,Nevada,Mountain West Conference,7.16,-0.27,0.063,18.653,25.389,26.425
Ammaar Balagam,FR,G,South Florida,American Athletic Conference,-23.52,-19.23,0.0,1.554,3.109,10.881
Amont'e Allen-Johnson,FR,G,Texas A&M-Corpus Christi,Southland Conference,4.898,-9.509,0.0,14.508,6.218,10.881
Amoro Lado,SR,G,Lindenwood,Ohio Valley Conference,13.05,-5.694,0.056,40.415,10.881,23.834
Anderson Kopp,SR,G,Kansas City,Summit League,17.751,-1.156,0.143,65.285,20.725,63.731
Anderson Mirambeaux,SR,F,Miami (OH),Mid-American Conference,17.372,-1.129,0.105,63.731,20.725,44.041
Andersson Garcia,SR,G,Texas A&M,Southeastern Conference,18.237,7.969,0.165,74.611,94.301,74.611
Andre Curbelo,JR,G,Southern Mississippi,Sun Belt Conference,15.367,-2.368,0.062,51.813,16.58,25.907
Andre Henry,SR,G,UC Irvine,Big West Conference,17.564,2.573,0.159,64.767,41.451,73.575
Andre Johnson Jr.,SO,G,Connecticut,Big East Conference ,-6.922,-8.638,0.0,4.663,7.254,10.881
Andre Lorentsson,JR,F,Toledo,Mid-American Conference,15.872,0.658,0.142,52.85,27.979,63.731
Andre Mulibea,JR,G,Eastern Washington,Big Sky Conference,0.224,-12.04,-0.052,9.326,5.181,2.591
Andre Nunley,SR,G,Prairie View,Southwest Athletic Conference,15.103,-1.927,0.121,50.259,17.617,50.777
Andre Screen,SR,C,Butler,Big East Conference ,20.843,2.731,0.165,87.047,42.487,75.13
Andre Snoddy,SO,G,Stony Brook,Coastal Athletic Association,13.122,-3.06,0.076,41.451,15.544,31.088
Andre Warren,SO,G,Oregon,Pac-12 Conference,-3.643,-7.501,0.0,4.663,8.29,10.881
Andre Washington,JR,G,Long Island University,Northeast Conference,13.248,-3.049,0.068,41.451,15.544,27.979
Andre Weir,JR,F,Florida Gulf Coast,Atlantic Sun Conference,26.106,0.714,0.239,98.964,27.979,98.964
Andrei Savrasov,SR,F,Duquesne,Atlantic 10 Conference,17.213,3.033,0.158,63.212,46.114,73.057
Andrej Jakimovski,SR,F,Washington State,Pac-12 Conference,12.775,3.486,0.105,37.306,48.705,43.005
Andrej Stojakovic,FR,G,Stanford,Pac-12 Conference,12.769,0.495,0.035,37.306,27.979,20.207
Andres Burney,JR,F,Jacksonville State,Conference USA,18.169,-1.362,0.145,74.611,19.689,64.767
Andres Fulgencio,JR,G,Massachusetts-Lowell,America East Conference,16.932,-0.084,0.151,59.067,25.389,69.43
Andres Marrero,SO,G,La Salle,Atlantic 10 Conference,13.295,2.032,0.107,41.451,37.306,44.56
Andrew Akuchie,SO,F,Rice,American Athletic Conference,17.824,2.165,0.141,65.285,38.86,61.658
Andrew Alia,SO,G,Drake,Missouri Valley Conference,14.029,-1.244,0.102,46.114,19.689,42.487
Andrew Bailey,FR,F,Charlotte,American Athletic Conference,19.294,-4.145,0.0,80.311,13.99,10.881
Andrew Carr,SR,F,Wake Forest,Atlantic Coast Conference,22.342,7.621,0.18,93.264,92.746,87.565
Andrew Hurley,SR,G,Connecticut,Big East Conference ,5.645,-3.741,0.0,15.544,14.508,10.881
Andrew King,SO,G,Illinois-Chicago,Missouri Valley Conference,12.299,-3.349,0.0,35.233,14.508,10.881
Andrew Laczkowski,SR,G,Pennsylvania,Ivy League,19.022,1.436,0.141,78.238,30.57,61.658
Andrew Latiff,SR,G,Clemson,Atlantic Coast Conference,1.946,-11.332,0.0,11.399,5.181,10.881
